data_set,company,sent,time,screen_name,tweet
old,Microsoft,pos,Mon Sep 27 20:20:29 +0000 2021,madnono,@SupainShanku @Microsoft @SurfaceFrance @surface Tu es sur le fold 3?:) Le dessin tu le trouves comment ?
old,Microsoft,pos,Mon Sep 27 19:24:49 +0000 2021,PycraftDev,@Microsoft But it's the wrong way around for it to be cool :) https://t.co/2ueFD4hfK8
old,Microsoft,pos,Mon Sep 27 14:53:42 +0000 2021,AxieKing,"@BAYC5511 @matvelloso @Microsoft dude i went down this rabbit hole also.. nuts nuts nuts, see you in 7 min :)"
old,Microsoft,pos,Mon Sep 27 14:10:56 +0000 2021,Boltra_Artisans,RT @phan2187: i’m not an artist lol but this was the first time i baked and iced sugar cookies and i wanted to share with twitter so here y…
old,Microsoft,pos,Mon Sep 27 08:12:55 +0000 2021,phan2187,i’m not an artist lol but this was the first time i baked and iced sugar cookies and i wanted to share with twitter… https://t.co/iYUeKhF2K0
old,Microsoft,pos,Mon Sep 27 08:09:46 +0000 2021,DanielJBolton,What are the chances of @microsoft's highly anti-competitive limitations around the use of @Office365 in 3rd part c… https://t.co/9abkJ02rDC
old,Microsoft,pos,Mon Sep 27 07:51:01 +0000 2021,Parkyprakhar,@_sumitdhiman @HTTech @Microsoft I didn't write it :)
old,Microsoft,pos,Mon Sep 27 07:32:21 +0000 2021,Parkyprakhar,"@_sumitdhiman @HTTech @Microsoft Ofcourse not! I agree with your points :)
Thanks! :D"
old,Microsoft,pos,Mon Sep 27 07:10:54 +0000 2021,Parkyprakhar,@_sumitdhiman @HTTech @Microsoft I agree :)
old,Microsoft,pos,Mon Sep 27 03:25:54 +0000 2021,ScrivenerApp,@zaelyna @hkjacobsen @Microsoft Thank you Zaelyna! :-)
old,Microsoft,pos,Sun Sep 26 18:24:43 +0000 2021,knivd,@eggman42069owo @actualNULL0404 @Microsoft I have. Several times. And every time I hated it :)
old,Microsoft,pos,Sun Sep 26 14:03:06 +0000 2021,hakuehnemund,Trying to wrap my head around this @Outlook popup on my iPhone. How would a client side notification setting speed… https://t.co/lnuMxdHOds
old,Microsoft,pos,Sun Sep 26 12:20:53 +0000 2021,AndyPT,@michielhamers @MicrosoftTeams @Microsoft @MicrosoftLearn Yep. I didn't block the speakers' and organisers' names a… https://t.co/eK2tDujTae
old,Microsoft,pos,Sun Sep 26 12:05:17 +0000 2021,Verxion,@marci_heider @bewildgames @Microsoft @wimmersolutions @WriteDarkRight Yay!!!  Finally!  I very sincerely hope you… https://t.co/XGiHCncPxs
old,Microsoft,pos,Sun Sep 26 09:46:19 +0000 2021,TheWreckingBal5,@Julie_NoNumbers @bybyUSAnomore @Dave92442188 @garygreno @Paul4dogs @8BrianVogel4 @Forsolace @Birdseye1… https://t.co/4rfud2Ob7v
old,Microsoft,pos,Sun Sep 26 00:12:03 +0000 2021,MrCRT69,"@Microsoft Hey MS, are you sure you'll release it early? 

/r/Windows11 keeps complaining of the Windows 11 consist… https://t.co/l8KWM6GgmM"
old,Microsoft,pos,Sat Sep 25 22:50:24 +0000 2021,adampellegrini,@boltyboy @Microsoft @cristianliu @kogandan I always listened to you Matt :)
old,Microsoft,pos,Sat Sep 25 20:57:00 +0000 2021,tnkgrl,This week on episode 235 of my #MobTechCast... The magical @reneritchie joins me to review the @Apple… https://t.co/RPK9qjB5oS
old,Microsoft,pos,Sat Sep 25 15:14:45 +0000 2021,antisoleil,"@Microsoft ""sorry i can't install windows 11 my laptop is too old :) """
old,Microsoft,pos,Sat Sep 25 14:51:13 +0000 2021,teemoisfun_,"@grablabs @Microsoft I prefer dark mode, but in some situations, like people with a high degree of astigmatism, the… https://t.co/C4AGlyzUCp"
old,Microsoft,pos,Sat Sep 25 12:54:09 +0000 2021,UnconventionVc,"@RShawar @Microsoft @bolt @ryantakesoff @psb_dc @stephfoster2020 That makes sense. Ultimately, it's about getting the job done :)"
old,Microsoft,pos,Sat Sep 25 08:51:51 +0000 2021,CryptoBarak,@LionBeing @Crypto_OmarIT @MrResidual_ @Syntropynet @SyntropyStack @Microsoft @Oracle @ElrondNetwork @eshelter_com… https://t.co/R737DusZ7Y
old,Microsoft,pos,Sat Sep 25 08:30:36 +0000 2021,JMeloms,@Microsoft YOU SAID ONLY GIFS :)))))))))))))))))))))
old,Microsoft,pos,Sat Sep 25 07:32:20 +0000 2021,DariaPrzy,"@Dziki_Wonsz @Microsoft Witam w klubie :)
https://t.co/gVO9Pj9j6X"
old,Microsoft,pos,Sat Sep 25 06:51:59 +0000 2021,yutubirsizlik,"@MatthewWalden_ @Microsoft Assuming you started using a PC when you were 5, it is Windows, 7, 8 and 10 :)"
old,Microsoft,pos,Sat Sep 25 06:45:44 +0000 2021,MihaStele,"@Microsoft Yes @Microsoft, dm me :P https://t.co/A6VuA9HtRe"
old,Microsoft,pos,Sat Sep 25 02:57:56 +0000 2021,fabatteauw,@ScaryifLiteral @surface @Microsoft @panos_panay @VishnuNath @sneha_sultania @ShilpaRan @kipkniskern @MindHead1… https://t.co/DgHI0RtiPK
old,Microsoft,pos,Fri Sep 24 22:29:51 +0000 2021,ksh_vi,@Microsoft @surface Not to mention the iPad app store is head and shoulder's above Microsoft's tablet app store. (I… https://t.co/NwNfcm24Ag
old,Microsoft,pos,Fri Sep 24 22:16:45 +0000 2021,NsfTnkn,@AjansMuhbir @Microsoft :)
old,Microsoft,pos,Fri Sep 24 20:44:59 +0000 2021,jefmes,@Microsoft @Sirson Microsoft is watching you... :)
old,Microsoft,pos,Fri Sep 24 20:22:02 +0000 2021,AimieTurner85,@philipnolan1 @Microsoft Such a usseles tool. :)
old,Microsoft,pos,Fri Sep 24 19:57:45 +0000 2021,nyn,Looks like X'Mas is early this year :-) @Windows @Microsoft https://t.co/z5cFMrEisq
old,Microsoft,pos,Fri Sep 24 18:42:38 +0000 2021,1littlecoder,@DynamicWebPaige @Microsoft @github @code DMed you :)
old,Microsoft,pos,Fri Sep 24 17:20:24 +0000 2021,__justhash,@Microsoft very very nice :)
old,Microsoft,pos,Fri Sep 24 14:31:31 +0000 2021,jaydestro,@vinijmoura @Microsoft @AzureDevOps @apatricio @jeffreypalermo @dramel @michael_stephen @jguadagno :)
old,Microsoft,pos,Fri Sep 24 14:30:52 +0000 2021,vinijmoura,@jaydestro @Microsoft @AzureDevOps @apatricio @jeffreypalermo @dramel @michael_stephen @jguadagno Thanks Jay!!! :-)
old,Microsoft,pos,Fri Sep 24 06:02:43 +0000 2021,Fan2005Orange,RT @sovereignmade: Animated @Google's new logo w #MSPaint #MovieMaker :) http://t.co/ig03dcln1z #Google #GoogleLogo  #SovereignMade #Micros…
old,Microsoft,pos,Fri Sep 24 04:51:47 +0000 2021,rabimba,"Mmm.....ok I am getting Windows 11 I guess

@Microsoft that @Windows 11 banner looks like an ad :D https://t.co/uBr4OQnKAk"
old,Microsoft,pos,Fri Sep 24 02:50:05 +0000 2021,KardomeVUI,"@Microsoft These two compliment each other, I would say both :)"
old,Microsoft,pos,Thu Sep 23 21:34:07 +0000 2021,BBTNB,Just saw the pricing on the new @Microsoft @surface Laptop Studio and it’s a fair Canadian price for magic in metal… https://t.co/423Je7awKa
old,Microsoft,pos,Thu Sep 23 20:56:09 +0000 2021,ViktorKalmar1,@ChironUsa @Microsoft :)
old,Microsoft,pos,Thu Sep 23 20:43:06 +0000 2021,mahendra_kumar,@Microsoft Not good at either.. But good in using formulas to solve problems in both :-)
old,Microsoft,pos,Thu Sep 23 20:18:02 +0000 2021,ImEavesDroppin,"@Microsoft I just excel, Pun Intended! :) https://t.co/wBGj71tj0b"
old,Microsoft,pos,Thu Sep 23 20:17:14 +0000 2021,Benn0rs,@Microsoft Okay... Back to my emails... :D
old,Microsoft,pos,Thu Sep 23 20:06:43 +0000 2021,Marickian1,@Microsoft Both :)) but define good first
old,Microsoft,pos,Thu Sep 23 20:05:43 +0000 2021,PycraftDev,@Microsoft Well I got 98% in my maths degree... But I'd like to say my skills excel in Excel :)
old,Microsoft,pos,Thu Sep 23 17:50:33 +0000 2021,mayunkj,"@JonnieHACK @Microsoft @MSIntune Sure. Not trying to offer tech support here :) But would love to know, maybe offli… https://t.co/m3Jq6bqDdF"
old,Microsoft,pos,Thu Sep 23 17:11:17 +0000 2021,SQLMCT,@notaboutthecell @surface @Microsoft Thank you for reminding me so I don't accidently buy a new one. :)
old,Microsoft,pos,Thu Sep 23 16:51:02 +0000 2021,RobEbymathdude,"@RobertTalbert @Microsoft Oh I'm not saying it is overpriced or anything, but with 4 kids, 1 of which is in college… https://t.co/JiGuccy9ah"
old,Microsoft,pos,Thu Sep 23 16:35:04 +0000 2021,notaboutthecell,@surface I've got a hardware refresh in June of next year so whichever one @Microsoft will give me! :P
old,Microsoft,pos,Thu Sep 23 15:45:51 +0000 2021,lSippycup,@Old_White_W0lf @Tubby_Central @Halo @Xbox @XboxGamePass @XboxGamePassPC @Steam @Microsoft Go for it! ODST's are goated homie :)
old,Microsoft,pos,Thu Sep 23 08:26:35 +0000 2021,TechieTrotman,@OliviaHuxtable2 @sserenewables @Microsoft Me too. Love this story :) How you doing these days?
old,Microsoft,pos,Thu Sep 23 06:53:16 +0000 2021,Kercal,"@Microsoft Or this.

Only kidding :) it's Paint 3D. It'll never be chosen sigh.... https://t.co/aTPWLQ3kvJ"
old,Microsoft,pos,Thu Sep 23 06:51:34 +0000 2021,Kercal,@Microsoft (Monday magic select doodling with free assets from Pixabay :))
old,Microsoft,pos,Thu Sep 23 01:20:53 +0000 2021,dennislacroix,@Microsoft Thanks for leaving me to figure it out on my own... real helpful. :)
old,Microsoft,pos,Wed Sep 22 23:32:47 +0000 2021,lSippycup,@Tubby_Central @Halo @Xbox @XboxGamePass @XboxGamePassPC @Steam @Microsoft I love him :)
old,Microsoft,pos,Wed Sep 22 21:09:11 +0000 2021,code_of_energy,@sbisson @Microsoft Because if people don't use it it is a waist of material. It should be free for those who request it. :)
old,Microsoft,pos,Wed Sep 22 21:05:15 +0000 2021,PycraftDev,@Microsoft I haven't remembered my password since I last forgot it :)
old,Microsoft,pos,Wed Sep 22 20:52:52 +0000 2021,TrumpyBear46,"RT @thevrara: Microsoft mixed reality commercial with the legendary artist Marina Abramovic @HoloLens @Microsoft but wait, there’s more! Wa…"
old,Microsoft,pos,Wed Sep 22 20:47:48 +0000 2021,BBTNB,@mrmagill1 @Microsoft @PlayCraftLearn @mr_isaacs @MicrosoftEDU @MicrosoftEduCA It’s Microsoft :) Probably custom bu… https://t.co/lxdLQBd8a8
old,Microsoft,pos,Wed Sep 22 18:31:36 +0000 2021,SupainShanku,"C'est vrai qu'il a l'air ""mafnifique"" l'écran :p

@Microsoft
 @MicrosoftStore
 @surface
 @SurfaceFrance… https://t.co/jhfhorgOoP"
old,Microsoft,pos,Wed Sep 22 17:46:42 +0000 2021,StanSF9forever,"@Koreaboo @Microsoft make it happen please
p1harmony are amazing artists :)"
old,Microsoft,pos,Wed Sep 22 17:30:11 +0000 2021,NatashaGmura,"@hivaalex74 @ZelenskyyUa @BradSmi @Microsoft Зрозуміло, що має бути паралельні різновиди рахування голосів+наглядачі і т.д.!:))"
old,Microsoft,pos,Wed Sep 22 16:24:03 +0000 2021,Kercal,@PundITInc @matteastwood @satyanadella @Microsoft Still holding on for the burgundy Surface Duo :) https://t.co/4Ia4ELOzLl
old,Microsoft,pos,Wed Sep 22 16:23:06 +0000 2021,ideafella,"@tomwarren A more rigid keyboard. That's a plus that everyday users will surely appreciate. #SurfacePro8 

I'm feel… https://t.co/7g5RQXbjEm"
old,Microsoft,pos,Wed Sep 22 15:57:21 +0000 2021,TheValtsman,@anplei @ZelenskyyUa @BradSmi @Microsoft Візитівку Яроша знайшли чи ще шукають? :)
old,Microsoft,pos,Wed Sep 22 15:48:47 +0000 2021,matteastwood,Listening to @satyanadella and the @Microsoft team launch both Windows 11 and their new devices and I'm astounded w… https://t.co/Sxy4bxo4Sy
old,Microsoft,pos,Wed Sep 22 15:32:24 +0000 2021,Darkness32YT,"RT @Paint3Dedu: Cranking it up to 11 :)

Looking forward to seeing what @panos_panay, @satyanadella and @microsoft are going to showcase :)…"
old,Microsoft,pos,Wed Sep 22 15:02:47 +0000 2021,StarRims,@Microsoft surface event is in action :) https://t.co/yCB1bZUFX3
old,Microsoft,pos,Wed Sep 22 14:33:24 +0000 2021,Eli_Weitz,"RT @Paint3Dedu: Cranking it up to 11 :)

Looking forward to seeing what @panos_panay, @satyanadella and @microsoft are going to showcase :)…"
old,Microsoft,pos,Wed Sep 22 14:32:45 +0000 2021,Kercal,"RT @Paint3Dedu: Cranking it up to 11 :)

Looking forward to seeing what @panos_panay, @satyanadella and @microsoft are going to showcase :)…"
old,Microsoft,pos,Wed Sep 22 14:32:31 +0000 2021,Paint3Dedu,"Cranking it up to 11 :)

Looking forward to seeing what @panos_panay, @satyanadella and @microsoft are going to sho… https://t.co/oN2t3DbE6S"
old,Microsoft,pos,Wed Sep 22 12:43:04 +0000 2021,Kercal,"Celebrating the return of #GBBO and today’s #MicrosoftEvent with a slice of virtual low calorie cake :) 

Looking f… https://t.co/BKMwEqp1ye"
old,Microsoft,pos,Wed Sep 22 12:02:09 +0000 2021,LuiseFreese,@franzinifabio @Microsoft congratulations :-)
old,Microsoft,pos,Wed Sep 22 07:53:41 +0000 2021,abolfazl_M,@aminkhss @Microsoft @Twitter پس اپل به تو سلام میکند :)))))
old,Microsoft,pos,Wed Sep 22 07:53:16 +0000 2021,aminkhss,@abolfazl_M @Microsoft @Twitter واقعا :)))
old,Microsoft,pos,Wed Sep 22 07:53:05 +0000 2021,abolfazl_M,@aminkhss @Microsoft @Twitter خاک تو سر مایکروسافت که کمپینش رو خوب اجرا نمیکنه که طرفدارش واسش توییت بزنه تف تو غیرتش :)))))
old,Microsoft,pos,Wed Sep 22 07:52:26 +0000 2021,aminkhss,@abolfazl_M @Microsoft @Twitter البته کمپین مارکتینگه این کارا :))))
old,Microsoft,pos,Wed Sep 22 01:05:41 +0000 2021,skybrite,@_SayLee @Microsoft success story right here :)
old,Microsoft,pos,Tue Sep 21 22:38:34 +0000 2021,isaacrlevin,@bradygaster @Microsoft This was auto-posted :)
old,Microsoft,pos,Tue Sep 21 22:18:04 +0000 2021,bradygaster,@isaacrlevin @Microsoft of course you are! just don't get in trouble marketing for us on the clock. :)
old,Microsoft,pos,Tue Sep 21 20:57:40 +0000 2021,cefre00,"I have a 2017 @Lenovo laptop, with a 4 physical cores, 2 Ghz base freq and 8 GBs of RAM, with TPM2.0 enabled.
BUT (… https://t.co/C8rg2RAxFL"
old,Microsoft,pos,Tue Sep 21 19:58:40 +0000 2021,PycraftDev,@Microsoft Gladly :) I'll have the whole jar! https://t.co/onthKMCmO9
old,Microsoft,pos,Tue Sep 21 17:28:06 +0000 2021,jongallant,@parkplusplus @Microsoft You can sleep on it :)
old,Microsoft,pos,Tue Sep 21 16:32:34 +0000 2021,DavLlama,@Microsoft Na but Office 365 keeps forgetting to strip out malicious attachments :)
old,Microsoft,pos,Tue Sep 21 16:25:41 +0000 2021,El_Stocko,@AdrianEdmondson @Microsoft It's in case someone pretends to be you. Which has been done a few times before :)
old,Microsoft,pos,Tue Sep 21 16:18:18 +0000 2021,speedyb,@AdrianEdmondson @Microsoft Office 2021 is being released on October 5th if you want something that doesn't require… https://t.co/bqlWO3ME0A
old,Microsoft,pos,Tue Sep 21 16:02:35 +0000 2021,VFlaks,@thegreatbeanz @Microsoft Apple's loss is MS's gain :)
old,Microsoft,pos,Tue Sep 21 08:17:51 +0000 2021,SATYAJIT1910,RT @FoxViking1: @chimpy999 @Shadow_Leak @surface @Microsoft @Windows @MicrosoftXLEAKS @MicrosoftRTweet @tb2g_microsoft Lol there is no such…
old,Microsoft,pos,Tue Sep 21 08:17:38 +0000 2021,FoxViking1,@chimpy999 @Shadow_Leak @surface @Microsoft @Windows @MicrosoftXLEAKS @MicrosoftRTweet @tb2g_microsoft Lol there is… https://t.co/dOypMN3lfe
old,Microsoft,pos,Tue Sep 21 07:11:53 +0000 2021,xStormxBringeRx,@XboxOneReece @Microsoft @Xbox That’s cool bro. I get that :) 👊
old,Microsoft,pos,Tue Sep 21 05:03:50 +0000 2021,DIE4CDPR,"@Microsoft Yeah , a welcome for take two on joining the microsoft family :D"
old,Microsoft,pos,Mon Sep 20 23:37:22 +0000 2021,SATYAJIT1910,"RT @POWRSURG: @stebert @Microsoft @Windows Clearly ""An app"" is the name of the app. Duh :p"
old,Microsoft,pos,Mon Sep 20 23:37:14 +0000 2021,POWRSURG,"@stebert @Microsoft @Windows Clearly ""An app"" is the name of the app. Duh :p"
old,Microsoft,pos,Mon Sep 20 21:22:25 +0000 2021,Matthew_R_Neely,"@Chapman8tor @Microsoft Well, use a Windows machine! :P"
old,SAP,pos,Mon Sep 27 02:16:49 +0000 2021,LeeMcKnight,@glenn_a_allen @chicktiffbiz @Syracuse1848 @SAP @Westcott_Fair Check out 'Grow by #SAP'  - right answer… https://t.co/24IeywzHdj
old,SAP,pos,Sat Sep 25 10:04:02 +0000 2021,jakobflaman,The @SAP gifts have arrived. Thank you for making me part of the #SAPChampion program. Let's shine together… https://t.co/tndmVV1rxz
old,SAP,pos,Fri Sep 24 07:10:41 +0000 2021,johannesceh,@CYounosi @AllBrightGer @DieJuramama @SAP @SAPdach Wie? Die @janinakugel hat von Dir kein Selfie bekommen? :)
old,SAP,pos,Thu Sep 23 16:26:30 +0000 2021,marissvilans,"@verakso @SAP It was great session, believe SAP BOE PCE might be there for generations :)"
old,SAP,pos,Wed Sep 22 06:57:08 +0000 2021,CYounosi,"Ah…ein Beitrag u.a. mit mir / @SAP lief wohl gestern Abend auf @phoenix_de TV…da soll einer sagen, Nichenfernsehen…… https://t.co/0h0gmCbdKs"
old,SAP,pos,Mon Sep 20 16:56:53 +0000 2021,jakobflaman,@Mariettalg @SAP Gratulation. Welcome to the @SAPChampion Club :)
old,SAP,pos,Mon Sep 20 12:42:34 +0000 2021,maikroservice,"Today I start with a new #wol circle at @SAP - meeting new people, learning about their stories and working on my T… https://t.co/flrWVKAmHV"
old,Oracle,pos,Sun Sep 26 14:04:25 +0000 2021,Roman_Vi_Minaev,"@Oracle @Max33Verstappen @redbullracing В эту картинку смогли упаковать сразу три бренда которые я не люблю. :)
Red… https://t.co/DmQvq1K0ni"
old,Oracle,pos,Mon Sep 20 23:15:59 +0000 2021,fredmcclimans,@ShellyKramer @Oracle @Zoom #FoW #FTW :)
old,Oracle,pos,Sun Sep 19 14:52:57 +0000 2021,bblfish,"RT @bblfish: @ergysdona Yep, got JDK17 from @Oracle.  I'll get back to SDKMan later :-)

Now I wonder when @intellijidea is going to switch…"
old,Oracle,pos,Sun Sep 19 14:52:31 +0000 2021,bblfish,"@ergysdona Yep, got JDK17 from @Oracle.  I'll get back to SDKMan later :-)

Now I wonder when @intellijidea is goin… https://t.co/6dESvlcbIy"
old,exxonmobil,pos,Fri Sep 24 00:35:42 +0000 2021,GetUpside,@08ca6h We totally understand that folks like to shop around for the best deals and have preferences for where they… https://t.co/NAGvKN6k5f
old,exxonmobil,pos,Wed Sep 22 15:18:21 +0000 2021,beach_trades,"$FCEL stocks have memory, as do I :) ExxonMobil and FuelCell Energy, Inc. have signed a new, two-year expanded join… https://t.co/GDpe6y18N6"
old,HP,pos,Sat Sep 25 05:59:44 +0000 2021,MILTONALBERTORO,"@Ron_Damn @DGalargaCol @Skywito98 @HP Pilas, él se emborracha con sus impuestos! :) https://t.co/yz99ei9yDQ"
old,HP,pos,Wed Sep 22 12:30:10 +0000 2021,joados,@JulesHenri @HP Hp aussi fort 💪 que Nokia ! J’ai été vérifié et tu as bien déjà répondu :)
old,HP,pos,Wed Sep 22 11:46:17 +0000 2021,taleinverse,@_kindacool_ @HP не :)
old,HP,pos,Wed Sep 22 08:40:33 +0000 2021,karolina_piasek,@Fan_Technologii @HP @hp_polska @TymekNowak @Marek4211 @Gruszka @prawieanonimowy @Informatykadlak @Pogotowie_IT meg… https://t.co/goZ1sNdXKe
old,HP,pos,Wed Sep 22 08:38:01 +0000 2021,Pogotowie_IT,@Fan_Technologii @HP @hp_polska @TymekNowak @Marek4211 @Gruszka @prawieanonimowy @karolina_piasek @Informatykadlak Wygląda fajnie :-)
old,HP,pos,Wed Sep 22 01:52:05 +0000 2021,ilove6reja,"a única pessoa q foi legal comigo hj 
foi o atendente da @HP :)
vão trocar minha impressora 👏🏽"
old,HP,pos,Tue Sep 21 12:57:41 +0000 2021,hokyarahahaibe,@parfait_pls @HP You offended white paper?? What did you tell it ?? Black paper matters ? :p
old,HP,pos,Sun Sep 19 20:23:22 +0000 2021,GeforceMania,"@sirsquishy79 @Locuza_ @Rommex1 @sandroworsnop1 @AMDGaming @HP @OMENbyHP Well lets say, I would never need an RMA and be good :)"
old,FedEx,pos,Mon Sep 27 18:43:56 +0000 2021,meslizard,"@SouthernExGOP @FedEx @TizzyEnt DeJoy needs to go, but overall, the tank-and-file postal employees care about their… https://t.co/hry5p5155Q"
old,FedEx,pos,Mon Sep 27 18:33:06 +0000 2021,JKShulenburg,@kclilback @NFL @FedEx @jtuck9 Technically he's the only one who put foot to ball in a game of football yesterday :)
old,FedEx,pos,Mon Sep 27 15:52:29 +0000 2021,falzarac,@NFL345 @JoshAllenQB @RamsNFL @chargers @FedEx @NFL @JoshAllenQB had 5 total TDs. 4 passing and 1 rushing. Just saying :)
old,FedEx,pos,Mon Sep 27 15:18:16 +0000 2021,Mr__Lit,@_i_love_u____ @FedEx Agreed but it doesn't hurt to ask. :-) im just happy the food hasn't gotten stolen yet.
old,FedEx,pos,Mon Sep 27 02:02:40 +0000 2021,jasonbarrie,@GoUSA__ @ellceetalksalot @FedEx Freedom of speech is only guaranteed in regards to the government. A private busin… https://t.co/DBNWaZQqiQ
old,FedEx,pos,Sun Sep 26 04:23:01 +0000 2021,vick08,"Sadly, I still do not have my Jamstik, not the one that works at least. This time it's @fedex who aced it by draggi… https://t.co/LUKWAzfSbf"
old,FedEx,pos,Sun Sep 26 02:20:04 +0000 2021,MessiahsFolly,@FedEx I still have bills to pay and yet nothing with HR has been accomplished. I guess I'll send an official compl… https://t.co/r9EiqeQYCC
old,FedEx,pos,Sun Sep 26 00:42:18 +0000 2021,one_tired_wife,"ohhh she didn't take too kindly to that. &gt;:) ""what makes you think it was stolen??"" maybe bc the 1st one was never… https://t.co/yGHorCipgK"
old,FedEx,pos,Sat Sep 25 05:09:13 +0000 2021,Longbowgun,@chris_notcapn Thanks @FedEx  for correcting that (Fed)EX-employee. :)
